project_no,country_ko,project_name,notice_count,bid_base_group_count,valid_area_cost_notice_count,valid_bid_nos,all_bid_nos,display_representative_bid,technical_evidence_bid,price_evidence_bid,best_grade,compact_grade,verification_level,scope_status,representative_area_m2,representative_construction_cost_usd,representative_amount_stage,screening_unit_usd_m2,unit_cost_allowed_use,direct_future_estimate_ready,screening_sample_weight,direct_estimate_sample_weight,related_other_package_grade,related_other_package_bid,related_other_package_note,duplicate_and_scope_warning,grade_detail,source_url,grade_system_version,audit_date
2019-00045,파키스탄,파키스탄 태양전지모듈 인증시험소 설립사업 시험소 신축공사 시공업체 선정 입찰,1,1,1,L2021-00031-1,L2021-00031-1,L2021-00031-1,,L2021-00031-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,2349.2,1839007.0,NOTICE_EXECUTION_CEILING,782.8226630342244,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00031&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00598,파키스탄,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업 설계용역,4,4,2,L2025-00011-1;L2025-00047-1,L2024-00001-1;L2025-00011-1;L2025-00014-1;L2025-00047-1,L2025-00047-1,,L2025-00047-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,1980.0,1964270.0,NOTICE_EXECUTION_CEILING,992.0555555555555,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00047&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00104,파키스탄,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업 설계 및 감리용역,2,2,1,L2022-00034-1,L2021-00012-1;L2022-00034-1,L2022-00034-1,,L2022-00034-1,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,3046.75,2462409.0,NOTICE_EXECUTION_CEILING,808.2084188069255,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00034&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2012-00016,파키스탄,건조농대 농축산 역량강화센터 및 수자원 연수센터 사후관리를 위한 시공업체 선정입찰,1,1,0,,L2021-00017-1,L2021-00017-1,,L2021-00017-1,U,U,V3_SCOPE_REVIEW,PARTIAL_SCOPE,,731618.0,NOTICE_EXECUTION_CEILING,,계산 금지,0,0,0,,,,,면적과 금액 범위가 부분·혼합되어 계산 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2021-00017&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2017-14639,페루,페루 제3 한·페 의료센터 건립사업 리모델링 설계용역 입찰(재공고),2,2,0,,L2025-00009-1;L2025-00025-1,L2025-00025-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,1656.9,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00025&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00058,페루,페루 쿠스코시 폐기물 통합관리 및 순환경제 구축사업 퇴비화 시범 플랜트 설계용역,2,2,0,,L2024-00055-1;L2024-00076-1,L2024-00076-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00076&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00076,피지,피지 국립재활센터 건립사업 설계 및 감리용역 현지입찰계획,3,2,3,L2023-00038-1;L2025-00051-1;L2025-00051-2,L2023-00038-1;L2025-00051-1;L2025-00051-2,L2025-00051-2,L2025-00051-2,L2025-00051-2,B,B,V3_ORIGINAL_MANUAL,PARTIAL_SCOPE,2686.4,6767312.0,NOTICE_EXECUTION_CEILING,2519.1006551518763,현지단가 결합 수량모델,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,재공고의 동일 피지 blank BOQ; 한 표본으로 처리,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00051&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2023-00032,피지,피지국립의과대학 의료인력 역량강화사업 설계 및 감리용역,1,1,1,L2024-00066-1,L2024-00066-1,L2024-00066-1,,L2024-00066-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH_ATTACHMENT_CONSTRUCTION_BUDGET,1060.0,2406346.0,DESIGN_ESTIMATE,2270.1377358490568,초기 스크리닝만,0,1,0,,,,,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2024-00066&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00097,피지,피지 농업공존형 태양광 발전사업(GCF) 영농기술센터 및 농기자재 보관창고 신축 설계 및 감리용역,1,1,0,,L2023-00030-1,L2023-00030-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,1100.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00030&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2016-20150,필리핀,필리핀 퀴리노주 농촌종합개발 2차 사업 설계 및 시공 일괄용역,2,2,2,L2018-00012-1;L2022-00042-1,L2018-00012-1;L2022-00042-1,L2018-00012-1,,L2018-00012-1,C,C,V3_CURATED_AREA_COST_RECHECK,MATCH,6615.0,4374688,ADVERTISED_ESTIMATED_BUDGET,661.3284958427815,초기 스크리닝만,0,1,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,동일/제한 범위 공사금액÷면적 스크리닝 근거,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2018-00012&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2021-00072,필리핀,(재공고) 필리핀 국립대학교 로스바뇨스(UPLB) 첨단농업연구센터 신축공사,1,1,1,L2023-00054-2,L2023-00054-2,L2023-00054-2,,L2023-00054-2,C?,C?,V2R_HUMAN_REVIEWED_EXTRACTION,MATCH,6682.62,5107200.0,NOTICE_EXECUTION_CEILING,764.2511470052166,초기 스크리닝만,0,1,0,,,,,범위 일치 잠정확인; 원본 V3 확인 전 직접 사용 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2023-00054&P_PBLANC_ODR=2,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2017-15267,필리핀,필리핀 사무소 이전 관련 마감공사,1,1,0,,L2019-00046-1,L2019-00046-1,,,U,U,V3_SCOPE_REVIEW,PARTIAL_MIXED_COST,679.0,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,,면적과 금액 범위가 부분·혼합되어 계산 금지,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2019-00046&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2020-00094,필리핀,필리핀 농기계현대화센터 구축 및 역량강화 사업 건축 설계용역,2,2,0,,L2021-00014-1;L2022-00009-1,L2022-00009-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2022-00009&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
2022-00069,필리핀,[재공고][긴급] 필리핀 기마라스주 해수양식센터 건립 설계 용역업체 선정,2,2,0,,L2025-00075-1;L2025-00094-1,L2025-00094-1,,,X,X,V3_SCOPE_REVIEW,NO_MATCH,8722.56,,SERVICE_OR_GOODS_CEILING,,계산 금지,0,0,0,,,,project_no 안에 서로 다른 시설·Lot·설계·감리·공사 패키지가 있을 수 있어 1개 비용행으로 합산 금지,설계·감리·기타 용역 집행한도는 건축공사비가 아님,https://nebid.koica.go.kr/oep/lobi/localBidManageDetail.do?P_LOAZ_BID_PBLANC_NO=L2025-00094&P_PBLANC_ODR=1,KOICA-AREA-COST-READINESS-2.0,2026-08-01
