project_key,project_no,country_ko,representative_title,representative_construction_bid_title,grade,technical_status,grade_detail,price_stage,scope_status,verification_level,review_status,evidence_file,evidence_location,blocking_issue,next_action,verified_cost_amount,verified_cost_currency,verified_cost_per_gfa_m2,verified_item_note,candidate_record_count,linked_bid_count,linked_bid_nos,indexed_attachment_count,construction_attachment_count,unique_attachment_count,spreadsheet_count,boq_named_file_count,quantity_table_file_count,priced_table_file_count,max_quantity_rows_detected,max_priced_rows_detected,scan_error_file_count,gross_floor_area_m2_values,direct_project_estimate_ready,needs_local_rates,only_screening_or_trace,sample_weight,claim_boundary
UNLINKED:15085055:226,,튀니지,"튀니지 글로벌 공공조달교육원 건립 사업(25·30/1,100만불) PMC 용역 입찰",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2008-00040,2008-00040,파라과이,파라과이 아순시온시 취약아동 청소년 재활훈련원 건립사업('08-'10/1...,,C,U,C4 미연결·기초정보: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00059,2013-00059,파키스탄,파키스탄 국립섬유대학 산업용 섬유센터 설립사업 2차사업(22·28/795만불) 공사,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,3,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2024-00107,2024-00107,파키스탄,파키스탄 펀잡주 물탄시티 기후변화 적응을 위한 홍수방재 마스터플랜 수립 및 우수저류시설 설치사업 설계 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,1,L2025-00066-1,16,0,16,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2013-00034,2013-00034,팔레스타인,팔레스타인 제닌 청소년센터 건립사업('13-'18/360만불)...,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00076,2022-00076,피지,"피지 국립재활센터 건립사업(22·27/1,000만불) 시공 용역",피지 국립재활센터 신축 공사,B,B,"수동검증완료: 피지 국립재활센터 Section 4 BOQ에 공종별 수량, 단가 0",NONE,FULL,V3,수동검증완료,L2025-00051-1/Section 4 - Bill of Quantity.xlsx,"공종별 시트, 대표 Mechanical Services 수량표",품목별 피지 현지 단가 부재; 재공고 파일 해시 동일,고유 BOQ 1건으로 처리하고 피지 현지단가 결합,,,,,2,3,L2023-00038-1;L2025-00051-1;L2025-00051-2,46,30,33,3,2,1,0,204,0,0,,0,1,0,1,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2021-00097,2021-00097,피지,피지 농업공존형 태양광 발전사업(GCF)(21·24/800만불) 영농기술센터 및 농기자재 보관창고 시공,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,4,L2023-00030-1;L2024-00036-1;L2025-00015-1;L2025-00015-2,2,0,2,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
2022-00069,2022-00069,필리핀,"필리핀 기마라스주 수산양식 역량강화를 통한 양식어민 소득증대 지원사업('22·'28/1,000만불)현지 설계 입찰",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,2,3,L2025-00059-1;L2025-00075-1;L2025-00094-1,29,0,19,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:330,,필리핀,"필리핀 팔라완 지역 식량 안보 및 기후변화 대응을 위한 환경자원정보시스템 개발 사업('24·'28/1,000만불)",,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
UNLINKED:15085055:336,,필리핀,필리핀 경찰청 범죄수사정보 통합관리 시스템 구축 사업 시스템 감리 용역,,C,U,C2 금액·범위: 직접 수량×단가 산정 근거 미확인,NONE_UNKNOWN,UNKNOWN,V0,자동판정(V2),,,품목 수량·단가 또는 범위 일치 GFA·공사금액 부족,첨부 추가수집·OCR·수동검토 또는 설계/계약 BOQ 확보,,,,,1,0,,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,A도 첨부 가격단계 범위의 사업별 추정만 가능; 국가단가·계약가·준공가를 의미하지 않음
