number,bid_base_no,order,bid_no,title,contract_type,contract_method,notice_date,manager,construction_candidate
309,L2022-00068,1,L2022-00068-1,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,공사,일반경쟁,2022-11-25,이신영,True
310,L2022-00067,1,L2022-00067-1,캄보디아 농촌종합개발을 통한 평화마을 조성사업 농업기술지도수행 업체선정(용역) 현지 입찰,용역,일반경쟁,2022-11-16,김광욱,False
311,L2022-00066,1,L2022-00066-1,몽골 한몽기술대학교 역량강화사업 사후관리 설계업체 선정,용역,조달위탁,2022-09-15,강종려,True
312,L2022-00065,2,L2022-00065-2,몽골 한몽기술대학교 역량강화사업 사후관리 설계업체 선정,용역,조달위탁,2022-07-29,강종려,True
313,L2022-00065,1,L2022-00065-1,몽골 한몽기술대학교 역량강화사업 사후관리 설계업체 선정,용역,조달위탁,2022-07-06,강종려,True
314,L2022-00064,1,L2022-00064-1,몽골 대기환경 개선을 위한 에너지원 품질관리 역량강화사업 설계업체 선정,용역,조달위탁,2022-09-15,강종려,True
315,L2022-00063,2,L2022-00063-2,몽골 대기환경 개선을 위한 에너지원 품질관리 역량강화사업 설계업체 선정,용역,조달위탁,2022-08-04,강종려,True
316,L2022-00063,1,L2022-00063-1,몽골 대기환경 개선을 위한 에너지원 품질관리 역량강화사업 설계업체 선정,용역,조달위탁,2022-07-20,강종려,True
317,L2022-00062,1,L2022-00062-1,우간다 단기교육과정 실습재료 물품 조달 관련 일반경쟁입찰,물품,일반경쟁,2022-10-20,김기담,False
318,L2022-00061,1,L2022-00061-1,페루 로레토주 응급의료체계 강화지원을 위한 차량 앰뷸런스 구매 현지입찰,물품,일반경쟁,2022-10-13,송병주,False
319,L2022-00060,1,L2022-00060-1,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 감리사 선정 현지입찰,용역,일반경쟁,2022-10-10,김나연,True
320,L2022-00059,1,L2022-00059-1,도미니카(공) 여성 중심 취약계층 사회경제적 역량강화사업 - 하이나 및 몬테크리스티 직업훈련센터 설계용역 입찰,용역,일반경쟁,2022-10-04,김나연,True
321,L2022-00058,1,L2022-00058-1,단기교육과정 실습재료 물품 조달 관련 일반경쟁입찰,물품,일반경쟁,2022-09-29,김기담,False
322,L2022-00057,3,L2022-00057-3,캄보디아 중학교 ICT교육역량 강화사업  ICT부문 공급업체 선정 현지 입찰,물품,일반경쟁,2022-11-18,김준수,False
323,L2022-00057,2,L2022-00057-2,캄보디아 중학교 ICT교육역량 강화사업  ICT부문 공급업체 선정 현지 입찰,물품,일반경쟁,2022-10-28,김준수,False
324,L2022-00057,1,L2022-00057-1,캄보디아 중학교 ICT교육역량 강화사업  ICT부문 공급업체 선정 현지 입찰,물품,일반경쟁,2022-10-04,김준수,False
325,L2022-00056,1,L2022-00056-1,과테말라 웨웨떼낭고 모자병원  보수공사 시공업체 선정,공사,일반경쟁,2022-09-21,이동현,True
326,L2022-00055,1,L2022-00055-1,키르기즈공화국 유기농업정책 이행지원 및 역량강화 사업 약초건조장 신축공사 시공업체 선정 현지입찰,공사,일반경쟁,2022-09-22,지윤근,True
327,L2022-00054,1,L2022-00054-1,금융분야 조기경보 및 위기관리 역량강화 사업 사무기기 구매,물품,일반경쟁,2022-09-26,이정헌,False
328,L2022-00053,2,L2022-00053-2,우간다 미티아나 및 음피지 농업 투입물 및 기자재 공급,물품,일반경쟁,2022-09-09,강수경,False
329,L2022-00053,1,L2022-00053-1,우간다 미티아나 및 음피지 농업 투입물 및 기자재 공급,물품,일반경쟁,2022-08-01,강수경,False
330,L2022-00052,2,L2022-00052-2,우간다 미티아나 및 음피지 낙농 투입물 및 기자재 공급,물품,일반경쟁,2022-09-09,강수경,False
331,L2022-00052,1,L2022-00052-1,우간다 미티아나 및 음피지 낙농 투입물 및 기자재 공급,물품,일반경쟁,2022-08-01,강수경,False
332,L2022-00051,1,L2022-00051-1,우간다 미티아나 및 음피지 옥수수 가공 및 농업 기계장비 공급,물품,일반경쟁,2022-09-09,강수경,False
333,L2022-00050,1,L2022-00050-1,(입찰취소) 우간다 미티아나 및 음피지 옥수수 가공 및 농업 기계장비 공급,물품,일반경쟁,2022-08-01,강수경,False
334,L2022-00049,1,L2022-00049-1,우간다 미티아나 커피 탈곡기 공급,물품,일반경쟁,2022-08-01,강수경,False
335,L2022-00048,2,L2022-00048-2,우간다 미티아나 및 음피지 젖소 공급,물품,일반경쟁,2022-09-09,강수경,False
336,L2022-00048,1,L2022-00048-1,미티아나 및 음피지 젖소 공급,물품,일반경쟁,2022-08-01,강수경,False
337,L2022-00047,1,L2022-00047-1,우간다 미티아나 및 음피지 건축자재 공급,물품,일반경쟁,2022-08-01,강수경,True
338,L2022-00046,1,L2022-00046-1,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 시공사 선정 현지입찰,공사,일반경쟁,2022-09-13,김나연,True
339,L2022-00045,1,L2022-00045-1,중학교 ICT 교육역량강화사업 ICT Lab 리모델링 시공,공사,일반경쟁,2022-08-01,김준수,True
340,L2022-00044,2,L2022-00044-2,캄보디아 동북부 소외지역 모자보건 프로그램 기자재 공급업체 선정,물품,일반경쟁,2022-10-19,김준수,False
341,L2022-00044,1,L2022-00044-1,캄보디아 동북부 소외지역 모자보건 프로그램 기자재 공급업체 선정,물품,일반경쟁,2022-09-15,김준수,False
342,L2022-00043,1,L2022-00043-1,방글라데시 사이버안전을 위한 디지털수사역량 확산사업 챠토그램 사이버경찰센터 시공,공사,일반경쟁,2022-09-01,강현서,True
343,L2022-00042,1,L2022-00042-1,필리핀 퀴리노주 농촌종합개발 2차사업 잔여공사 시공사 선정,공사,일반경쟁,2022-08-19,이탁건,True
344,L2022-00041,1,L2022-00041-1,에티오피아 암하라주 농산물 수확후 관리 및 유통기능 제고를 통한 농촌지역 가치 사슬 강화 사업 기획을 위한 기초선조사 용역 입찰,용역,일반경쟁,2022-07-31,김선영,False
345,L2022-00040,1,L2022-00040-1,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 감리사 선정 현지입찰,용역,일반경쟁,2022-08-10,김나연,True
346,L2022-00039,2,L2022-00039-2,과테말라 아마티틀란시 CCTV 기자재 업체 선정 현지입찰,물품,일반경쟁,2022-08-09,동상진,False
347,L2022-00039,1,L2022-00039-1,과테말라 아마티틀란시 CCTV 기자재 업체 선정 현지입찰,물품,일반경쟁,2022-07-18,강승헌,False
348,L2022-00038,1,L2022-00038-1,파라과이 센트럴주 림삐오시 보건의료체계 형성 및 일차의료 강화사업 림삐오 병원(신관 및 리모델링) 일반기자재 재공고 입찰,물품,일반경쟁,2022-07-04,최휘진,True
349,L2022-00037,1,L2022-00037-1,동티모르 스포츠를 활용한 아동발달사업 시공업체 선정,공사,일반경쟁,2022-07-11,변숙진,True
350,L2022-00036,1,L2022-00036-1,엘살바도르 ITCA 공학교육역량 강화사업 설계용역 입찰,용역,일반경쟁,2022-06-27,권율,True
351,L2022-00035,2,L2022-00035-2,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,공사,일반경쟁,2022-08-19,이신영,True
352,L2022-00035,1,L2022-00035-1,에티오피아 양질의 일자리 창출을 위한 ICT기반의 창업 및 중소기업(SME)육성 지원사업 ICT 센터 리모델링 공사,공사,일반경쟁,2022-06-30,이신영,True
353,L2022-00034,1,L2022-00034-1,파키스탄 아동 및 지역 영양개선을 위한 영양교육센터 신축공사  공사입찰설명서,용역,일반경쟁,2022-06-30,이흥수,True
354,L2022-00033,1,L2022-00033-1,방글라데시 청년창업 활성화를 위한 대학 창업교육 역량강화 지원사업 센터 증축 시공업체선정,공사,일반경쟁,2022-06-30,김태현,True
355,L2022-00032,1,L2022-00032-1,도미니카공화국 미성년자 임신방지 및 여성보건환경개선 3차사업_산후안 성보건센터 건립 시공사 선정 현지입찰,공사,일반경쟁,2022-06-29,김나연,True
356,L2022-00031,1,L2022-00031-1,파키스탄 KP주 아보타바드시 하베리안지역 상수도사업 기본 및 실시설계 용역,용역,일반경쟁,2022-06-29,이흥수,True
357,L2022-00030,1,L2022-00030-1,페루 로레토주 응급의료체계 강화지원을 위한 수상 앰뷸런스 구매 현지입찰,물품,일반경쟁,2022-06-22,이상급,False
358,L2022-00029,1,L2022-00029-1,네팔 Province 2 지역 건설기술인력 양성을 위한 모델 폴리텍 설립사업 시공업체 선정,공사,일반경쟁,2022-06-06,정윤희,True
359,L2022-00028,1,L2022-00028-1,라오스 농촌개발 2개 프로젝트 차량구매,물품,일반경쟁,2022-06-15,이성민,False
360,L2022-00027,1,L2022-00027-1,에콰도르 키토시 혁신센터 건립을 통한 창업 및 기업혁신 지원체계 강화사업 리모델링 설계 용역,용역,일반경쟁,2022-06-06,이혜영,True
361,L2022-00026,1,L2022-00026-1,페루 로레토주 응급의료체계 강화지원을 위한 수상 앰뷸런스 구매 현지입찰,물품,일반경쟁,2022-06-07,이상급,False
362,L2022-00025,1,L2022-00025-1,우간다 미티아나 및 음피지 건축자재 공급,물품,일반경쟁,2022-05-30,권오진,True
363,L2022-00024,1,L2022-00024-1,우간다 미티아나 및 음피지 농업 투입물 및 기자재 공급,물품,일반경쟁,2022-05-30,권오진,False
364,L2022-00023,1,L2022-00023-1,우간다 미티아나 및 음피지 낙농 투입물 및 기자재 공급,물품,일반경쟁,2022-05-30,권오진,False
365,L2022-00022,1,L2022-00022-1,우간다 미티아나 및 음피지 젖소 공급,물품,일반경쟁,2022-05-30,권오진,False
366,L2022-00021,1,L2022-00021-1,우간다 미티아나 및 음피지 옥수수 가공 및 농업 기계장비 공급,물품,일반경쟁,2022-05-30,권오진,False
367,L2022-00020,1,L2022-00020-1,우간다 미티아나주 커피 탈곡기 공급,물품,일반경쟁,2022-05-30,권오진,False
368,L2022-00019,1,L2022-00019-1,라오스 성생식 모자보건 RMNCH센터 및 여성폭력 예방대응 EVAW센터 시공업체 선정,공사,일반경쟁,2022-05-24,김나영,True
369,L2022-00018,1,L2022-00018-1,한-필 IT 훈련원 사후지원 입찰,공사,일반경쟁,2022-01-19,김수영,True
370,L2022-00017,1,L2022-00017-1,피지 기후변화 대응 보건역량강화 사업 응급의료차량 기자재 공급업체 선정 현지 입찰,물품,일반경쟁,2022-05-24,방서연,False
371,L2022-00016,1,L2022-00016-1,에콰도르 국가품질 서비스 개선을 위한 법정계량 역량강화 사업 현지 특장 차량 구매 현지입찰,물품,일반경쟁,2022-05-18,이혜영,False
372,L2022-00015,1,L2022-00015-1,필리핀 농기계현대화센터 건축 시공 용역,공사,일반경쟁,2022-05-18,이탁건,True
373,L2022-00014,1,L2022-00014-1,파라과이 센트럴주 림삐오시 보건의료 체계형성 및 일차의료 강화사업 림삐오 지역병원 일반기자재 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2022-05-09,최휘진,False
374,L2022-00013,1,L2022-00013-1,파라과이 센트럴주 림삐오시 보건의료 체계형성 및 일차의료 강화사업 림삐오 지역병원 의료기자재(3종) 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2022-05-09,최휘진,False
375,L2022-00012,1,L2022-00012-1,파라과이 센트럴주 림삐오시 보건의료 체계형성 및 일차의료 강화사업 림삐오 지역병원 의료기자재(디지털 이동형 X-ray) 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2022-05-09,최휘진,False
376,L2022-00011,1,L2022-00011-1,파라과이 센트럴주 림삐오시 보건의료 체계형성 및 일차의료 강화사업 림삐오 지역병원 의료기자재(42종) 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2022-05-09,최휘진,False
377,L2022-00010,1,L2022-00010-1,파라과이 취약계층 노인보건의료복지센터 정책수립 지원사업 구급차 공급업체 선정 국제경쟁 입찰,물품,일반경쟁,2022-05-10,최주리,False
378,L2022-00009,1,L2022-00009-1,필리핀 국립대학교 로스바뇨스 첨단농업연구센터 건축 설계 용역,용역,일반경쟁,2022-04-26,이탁건,True
379,L2022-00008,1,L2022-00008-1,GIZ 사업 훈련생 창업지원 프로그램 용역,용역,일반경쟁,2022-04-25,김소연,False
380,L2022-00007,2,L2022-00007-2,인도네시아 경찰청 사이버범죄수사 교육센터 프로젝트 리모델링업체 선정 입찰,공사,일반경쟁,2022-05-30,조정신,True
381,L2022-00007,1,L2022-00007-1,인도네시아 경찰청 사이버범죄수사 교육센터 프로젝트 리모델링업체 선정 입찰,공사,일반경쟁,2022-04-05,조정신,True
382,L2022-00006,1,L2022-00006-1,네팔 경찰 역량강화를 위한 사이버안전국 설립사업 설계 및 감리업체 선정 현지입찰,용역,일반경쟁,2022-04-04,최종성,True
383,L2022-00005,3,L2022-00005-3,키르기즈(공) 유기농업 정책이행지원 및 역량강화사업 마만 조합 트렉터 및 부속장비 조달업체 선정 현지국제입찰,물품,일반경쟁,2022-02-28,홍은혜,False
384,L2022-00005,2,L2022-00005-2,키르기즈(공) 유기농업 정책이행지원 및 역량강화사업 토소르 조합 냉장설비 조달업체 선정 현지국제 재입찰,물품,일반경쟁,2022-02-28,홍은혜,False
385,L2022-00005,1,L2022-00005-1,키르기즈(공) 유기농업 정책이행지원 및 역량강화사업 토소르 조합 주스가공장비 조달업체 선정 현지국제 재입찰,물품,일반경쟁,2022-02-28,홍은혜,False
386,L2022-00004,1,L2022-00004-1,블라칸 한-필 IT 훈련원 시설 개선 공사,공사,일반경쟁,2022-01-19,김수영,True
387,L2022-00003,1,L2022-00003-1,우즈베키스탄 우르겐치 직업훈련원 및 직업훈련제도 역량공고화 지원사업 설계 및 감리업체 선정,용역,일반경쟁,2022-02-21,성민경,True
388,L2022-00002,1,L2022-00002-1,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 감리사 선정 국제경쟁 입찰,용역,일반경쟁,2022-01-20,최주리,True
389,L2022-00001,1,L2022-00001-1,모잠비크 직업훈련교육 역량강화사업 시공업체 선정 국제 경쟁입찰,공사,일반경쟁,2022-01-14,노경진,True
390,L2021-00045,1,L2021-00045-1,파라과이 항공 전문인력 역량강화사업 항공훈련센터 현지 시공사 선정 국제경쟁 입찰,공사,일반경쟁,2021-12-28,최주리,True
391,L2021-00044,1,L2021-00044-1,베트남 코로나19 대응 포괄적 긴급지원 대응물품(폐주사기 수거함) 공급입찰,물품,지명경쟁,2021-12-23,이정헌,False
392,L2021-00043,1,L2021-00043-1,베트남 코로나19 대응 포괄적 긴급지원 프로그램 물품(세이프티박스) 공급 입찰,물품,지명경쟁,2021-12-03,이정헌,False
393,L2021-00042,1,L2021-00042-1,파라과이 항공 전문인력 역량강화사업 격납고 현지 감리사 선정 국제경쟁 입찰,용역,일반경쟁,2021-11-17,최주리,True
394,L2021-00041,1,L2021-00041-1,키르기즈 유기농업 정책이행지원 및 역량강화사업 토소르 조합 주스가공장비 조달업체 선정 현지국제입찰,물품,일반경쟁,2021-11-15,홍은혜,False
395,L2021-00040,1,L2021-00040-1,키르기즈 유기농업 정책이행지원 및 역량강화사업 토소르 조합 냉장설비 조달업체 선정 현지국제입찰,물품,일반경쟁,2021-11-15,홍은혜,False
396,L2021-00039,1,L2021-00039-1,키르기즈 유기농업 정책이행지원 및 역량강화사업 마만 조합 약초건조설비  조달업체 선정 현지국제입찰,물품,일반경쟁,2021-11-15,홍은혜,False
397,L2021-00038,1,L2021-00038-1,키르기즈공화국 유기농업 정책이행지원 및 역량강화사업 마만 조합 지원 트랙터 조달업체 선정 현지국제입찰,물품,일반경쟁,2021-11-15,홍은혜,False
398,L2021-00037,1,L2021-00037-1,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(4차 신규),공사,일반경쟁,2021-11-04,김광욱,True
399,L2021-00036,1,L2021-00036-1,키르기즈공화국 유기농업 정책이행지원 및 역량강화사업 유기농 로컬푸드마켓 현지 설계 및 감리업체 선정,용역,일반경쟁,2021-11-01,홍은혜,True
400,L2021-00035,1,L2021-00035-1,가나 여성청소년 수학과학 교육지원사업 수원국 시스템 활용 사업기금 회계감사 용역 입찰,용역,일반경쟁,2021-10-25,최정이,False
401,L2021-00034,1,L2021-00034-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 설계용역 입찰,용역,일반경쟁,2021-10-15,권율,True
402,L2021-00033,1,L2021-00033-1,엘살바도르 국립보건교육센터 설립 및 보건교육 강화사업 코로나19 대응 의료기자재 구매 입찰,물품,일반경쟁,2021-10-11,권율,False
403,L2021-00032,1,L2021-00032-1,엘살바도르 국립보건교육센터 걸립 및 보건교육 강화사업 코로나19 대응 앰뷸런스용 태블릿 구매 입찰,물품,일반경쟁,2021-10-11,권율,False
404,L2021-00031,1,L2021-00031-1,파키스탄 태양전지모듈 인증시험소 설립사업 시험소 신축공사 시공업체 선정 입찰,공사,일반경쟁,2021-10-22,이흥수,True
405,L2021-00030,1,L2021-00030-1,파라과이 항공 전문인력 역량강화사업 격납고 현지 시공사 선정 국제경쟁 입찰,공사,일반경쟁,2021-10-20,최주리,True
406,L2021-00029,1,L2021-00029-1,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업 시공업체 선정 현지 입찰,공사,일반경쟁,2021-10-11,최종성,True
407,L2021-00028,1,L2021-00028-1,한코협력센터 건립사업 사후지원 IT기자재 추가구매 현지입찰,물품,일반경쟁,2021-09-20,김수민,True
408,L2021-00027,1,L2021-00027-1,아제르바이잔 교사역량강화 및 교육정보화 지원사업 온라인 교육 기자재 공급업체 선정 현지입찰,물품,일반경쟁,2021-09-27,문종현,False
409,L2021-00026,1,L2021-00026-1,엘살바도르 각급학교 대상 ICT장비 지원사업 물품구매 계약,물품,일반경쟁,2021-09-13,권율,False
410,L2021-00025,1,L2021-00025-1,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(3차 신규),공사,일반경쟁,2021-08-27,김광욱,True
411,L2021-00024,1,L2021-00024-1,모잠비크 직업훈련교육 역량강화사업 마톨라 산업학교 화학과 기자재 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2021-08-23,노경진,False
412,L2021-00023,1,L2021-00023-1,방글라데시 안질환 예방 및 치료역량 강화사업 코로나19 및 감염병 대응력 강화를 위한 보건위생환경 개선,공사,일반경쟁,2021-08-11,김태현,True
413,L2021-00022,1,L2021-00022-1,한코협력센터 건립사업 사후지원 IT 기자재 구매 현지입찰,물품,일반경쟁,2021-06-28,김수민,True
414,L2021-00021,1,L2021-00021-1,모잠비크 직업훈련교육 역량강화사업 마톨라 산업학교 화학과 기자재 공급업체 선정 국제경쟁입찰,물품,일반경쟁,2021-06-28,조아영,False
415,L2021-00020,1,L2021-00020-1,캄보디아 산학연계 비즈니스 인큐베이팅 체계 구축사업 시공업체 선정 재입찰,공사,일반경쟁,2021-06-16,김준수,True
416,L2021-00019,1,L2021-00019-1,라오스 모자보건 영양 교육훈련센터 및 여성폭력 예방대응센터 건축 설계 용역,용역,일반경쟁,2021-06-07,김상준,True
417,L2021-00018,1,L2021-00018-1,인도네시아 태양광 에너지 접근성 향상사업 EPC 선정 입찰,공사,일반경쟁,2021-06-09,정회진,True
418,L2021-00017,1,L2021-00017-1,건조농대 농축산 역량강화센터 및 수자원 연수센터 사후관리를 위한 시공업체 선정입찰,공사,일반경쟁,2021-05-17,최준호,True
419,L2021-00016,2,L2021-00016-2,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정 현지입찰(재입찰),공사,일반경쟁,2021-06-18,김광욱,True
420,L2021-00016,1,L2021-00016-1,캄보디아 동북부 소외지역 모자보건 프로그램 시공업체 선정,공사,일반경쟁,2021-05-11,김광욱,True
421,L2021-00015,1,L2021-00015-1,캄보디아 산학연계 비즈니스 인큐베이팅 체계 구축사업 시공업체 선정,공사,일반경쟁,2021-05-10,김준수,True
422,L2021-00014,1,L2021-00014-1,필리핀 농기계현대화센터 구축 및 역량강화 사업 건축 설계용역,용역,일반경쟁,2021-05-20,박종희,True
423,L2021-00013,1,L2021-00013-1,네팔 Province 2 지역 건설기술인력 양성을 위한 모델 폴리텍 설립사업” 모델 폴리텍 설계 및 감리업체 선정,용역,일반경쟁,2021-04-23,김진화,True
424,L2021-00012,1,L2021-00012-1,파키스탄 아동 및 지역 영양 개선을 위한 영양교육센터 설립사업 설계 및 감리용역,용역,일반경쟁,2021-04-28,최준호,True
425,L2021-00011,1,L2021-00011-1,도미니카(공) 미성년자 임신방지 및 여성보건환경 개선 3차사업 산후안 성보건센터 현지 설계업체 선정,용역,일반경쟁,2021-04-16,김나연,True
426,L2021-00010,1,L2021-00010-1,방글라데시 청년창업 활성화를 위한 대학 창업교육 역량강화 지원사업 센터 증축 설계 및 감리용역,용역,일반경쟁,2021-03-03,김태현,True
427,L2021-00009,1,L2021-00009-1,알제리 새우양식 사료 제조역량 강화 사업 사료제조설비 업체 선정 현지입찰(UNOPS 조달위탁),용역,조달위탁,2021-03-16,김경일,False
428,L2021-00008,1,L2021-00008-1,캄보디아 앙두엉병원 이비인후과 역량강화사업 의료기자재 구매 현지입찰,물품,일반경쟁,2021-03-15,강황욱,False
429,L2021-00007,1,L2021-00007-1,캄보디아 앙두엉병원 이비인후과 역량강화사업 의료기자재 구매 현지입찰,물품,일반경쟁,2021-04-27,강황욱,False
430,L2021-00006,1,L2021-00006-1,방글라데시 사이버수사 역량강화사업 Cyber Police Center 설계 및 감리용역,용역,일반경쟁,2021-03-01,이일령,True
431,L2021-00005,1,L2021-00005-1,볼리비아 고원지역 농업 기계화 및 농민역량 강화를 통한 생산성 증대사업 설계사 선정 현지입찰,용역,일반경쟁,2021-02-04,이길석,True
432,L2021-00004,1,L2021-00004-1,네팔 보건 및 소득증대를 통한 통합적 농촌지역 역량강화사업 아웃리치 센터 설계 및 감리업체 선정 현지입찰 계획,용역,일반경쟁,2021-02-08,최종성,True
433,L2021-00003,1,L2021-00003-1,"코트디부아르 아비장시 상수급수 연결 2차 사업 WASH 프로그램, 기초선 및 종료선 조사 기술용역(재공고입찰)",용역,일반경쟁,2021-02-04,이영인,False
434,L2021-00001,2,L2021-00001-2,케냐 분고마 체퓩-키바비 식수개발사업 시공업체 선정용역,공사,일반경쟁,2021-04-01,임장희,True
435,L2021-00001,1,L2021-00001-1,케냐 분고마 체퓩-키바비 식수개발사업 시공업체 선정용역,공사,일반경쟁,2021-01-20,임장희,True
436,L2020-00026,2,L2020-00026-2,파라과이 취약계층 노인 보건의료복지센터 정책수립 지원 사업 의료기자재 입찰,물품,일반경쟁,2021-01-04,김성은,False
